"lon","lat","depth"
-88.033333,49.006667,-0.226993
-88.021667,49.006667,-0.226703
-88.249167,49.005833,-0.231906
-88.033333,49.005833,-0.026904
-88.248333,49.005,-0.231906
-88.033333,49.005,0.273099
-88.0325,49.005,-0.126895
-88.258333,49.004167,0.167996
-88.0325,49.004167,0.273099
-88.031667,49.004167,-0.126895
-88.258333,49.003333,0.068005
-88.249167,49.003333,-0.231906
-88.1125,49.003333,-0.228793
-88.030833,49.003333,0.073102
-88.025833,49.003333,0.273297
-88.258333,49.0025,-0.032001
-88.113333,49.0025,-0.228793
-88.1125,49.0025,-0.228793
-88.105,49.0025,-0.228595
-88.029167,49.0025,0.073209
-88.028333,49.0025,-0.226794
-88.0275,49.0025,-0.126788
-88.258333,49.001667,0.167996
-88.113333,49.001667,-0.228793
-88.1125,49.001667,-0.228702
-88.111667,49.001667,-0.228702
-88.110833,49.001667,-0.228702
-88.11,49.001667,-0.228702
-88.109167,49.001667,-0.228702
-88.105833,49.001667,-0.228595
-88.105,49.001667,-0.228595
-88.2575,49.000833,-0.031909
-88.116667,49.000833,-0.228793
-88.113333,49.000833,-0.228793
-88.106667,49.000833,-0.228595
-88.104167,49.000833,-0.228503
-88.103333,49.000833,-0.228503
-88.1025,49.000833,-0.228503
-88.2575,49,0.168088
-88.256667,49,0.068097
-88.2525,49,-0.231906
-88.116667,49,-0.228793
-88.114167,49,-0.228793
-88.103333,49,-0.228503
-88.100833,49,-0.228503
-88.26,48.999167,-0.132098
-88.115,48.999167,0.271207
-88.114167,48.999167,0.271207
-88.113333,48.999167,0.171292
-88.1125,48.999167,0.271298
-88.103333,48.999167,0.271497
-88.1025,48.999167,0.271497
-88.1,48.999167,-0.228397
-88.116667,48.998333,0.171201
-88.115833,48.998333,-0.028796
-88.115,48.998333,-0.228793
-88.114167,48.998333,-0.228793
-88.113333,48.998333,-0.228702
-88.1125,48.998333,-0.228702
-88.111667,48.998333,-0.128696
-88.110833,48.998333,-0.028705
-88.11,48.998333,0.071301
-88.109167,48.998333,0.271405
-88.108333,48.998333,0.271405
-88.1075,48.998333,0.271405
-88.106667,48.998333,0.271405
-88.105833,48.998333,0.171399
-88.105,48.998333,-0.028506
-88.104167,48.998333,-0.128497
-88.103333,48.998333,-0.228503
-88.1025,48.998333,-0.128497
-88.101667,48.998333,-0.028506
-88.100833,48.998333,0.171597
-88.263333,48.9975,-0.232196
-88.248333,48.9975,-0.231799
-88.1175,48.9975,0.07121
-88.116667,48.9975,-0.228793
-88.11,48.9975,-0.228595
-88.109167,48.9975,-0.228595
-88.108333,48.9975,-0.128589
-88.1075,48.9975,-0.128589
-88.106667,48.9975,-0.128589
-88.105833,48.9975,-0.228503
-88.100833,48.9975,-0.0284
-88.2625,48.996667,-0.232104
-88.248333,48.996667,-0.231799
-88.118333,48.996667,0.171201
-88.1175,48.996667,-0.128787
-88.100833,48.996667,-0.128391
-88.1,48.996667,0.171597
-88.118333,48.995833,0.07121
-88.1175,48.995833,-0.228793
-88.100833,48.995833,-0.228397
-88.1,48.995833,0.071606
-88.248333,48.995,-0.231799
-88.119167,48.995,0.271207
-88.118333,48.995,-0.028796
-88.1,48.995,-0.0284
-88.03,48.995,0.0733
-88.260833,48.994167,-0.232104
-88.258333,48.994167,0.167996
-88.255,48.994167,-0.231998
-88.119167,48.994167,0.171201
-88.118333,48.994167,-0.228793
-88.1,48.994167,-0.128391
-88.099167,48.994167,0.271603
-88.030833,48.994167,-0.226703
-88.2575,48.993333,-0.231998
-88.255,48.993333,-0.231906
-88.254167,48.993333,0.168088
-88.253333,48.993333,-0.231906
-88.12,48.993333,0.271207
-88.119167,48.993333,-0.128787
-88.1,48.993333,-0.228397
